name,manufacturer,url,short_description,description,passive,portable,wearing_position,open_source,sdk_api,raw_data_access,minimum_cost_gbp,maximum_cost_gbp,availability,clinical_validation,medical_approval,self_administer,compatibility
ActiGraph GT9X Link,ActiGraph,https://www.actigraphcorp.com/actigraph-link/,smart watch,"The Actigraph GT9X Link is a smartwatch wearable which allow for a large rage of measurements which also include heart rate variability. While it hasn’t been used directly in dementia research yet, it has been used in research related to Parkinson’s disease. The watch is worn as usual on the wrist and has a rechargeable battery. Alongside heart rate variability measurements (which are possible by using compatible Bluetooth® Polar H7 or Polar H10 heart rate monitors), it can measure sleep parameters as well and as such may be useful for dual/multi-measurements relating to early detection indicators for dementia. While it is not commercially available yet, it is available for research purposes.",Passive,portable,Wrist,FALSE,FALSE,TRUE,181.91,160,0.5,0.5,3,1,
Oura Ring ,Oura ,https://ouraring.com/,Ring ,"This company have developed a ring wearable which is able to collect data about sleep as well as information throughout the day. This wearable is coupled with an app allowing the patient to access the information about their sleep. This data is displayed in a friendly interface using graphs, meaning it can show changes over time. This device is also able to detect inactivity which could relate to changes seen in wakefulness during the day, however clinical studies would be needed to confirm this. The ring has been tested in a clinical study in order to validate against PSG. The study found promising links such as summary variables for sleep onset latency, total sleep time and wake after onset being the same in both PSG and the Oura ring. However, there were inconsistencies between the two and so it has been suggested that the ring should undergo further testing (de Zambotti et al., 2017). Overall, this ring is a compact, less disruptive wearable which is uniquely able to detect HRV. It is a promising technology and although expensive could be useful in early detection of dementia.",Passive,portable,Finger,FALSE,FALSE,TRUE,278,372,1,0.5,0,1,
Delta cognitive testing ,Ki elements ,https://ki-elements.de/,App,"Delta, developed by Ki elements, is an iPad application of digitalised cognitive assessments. All the tests included in this app are clinical validated. The tests are confrontational naming, semantic verbal fluency, digit span, picture description, word list learning, free cued selective reminding, trial making test, copying figures and clock drawing. Ki elements are also open to the addition of new tests to their software. This means if another test, particularly important in early detection of dementia, is missing there is possibility for it to be added.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,0.5,0,,0,
Muse,InteraXon Inc.,https://choosemuse.com/,EEG,"EEG headband designed for personal use. It is designed to monitor neural activity
during meditation coupled with an app which translates how focused
the user is into ambient weather sounds to guide their meditation. They
offer Muse which is a Bluetooth EEG with app and Muse 2 which also has
a PPG (photoplethysmography) and Pulse Oximetry to
measure heart rate and blood flow, an accelerometer to measure posture and a
gyroscope to measure breathing. 

They also offer a platform for researchers. Muse has been used to monitor population
dynamics on over 6000 subjects who had opted in to being used in
research when purchasing the device. This reviled a shift from lower to higher
frequencies with age and slowing of frequency with age (Hashemi et al., 2016). It has also been
found to be sensitive enough to distinguish cognitive states, despite its lower
resolution compared to research and clinical standard EEGs (Bashivan, Rish, & Heisig, 2019). For
this reason, it has potential for use in large scale studies.

",Passive,portable,Head,FALSE,FALSE,TRUE,149,149,1,0.5,0,1,1
Google analytics ,Google ,https://analytics.google.com/analytics/web/provision/?authuser=0#/provision,Web application ,"Google analytics is a tool developed by google which can track certain websites and collect data based on the way they are used. As a part of google analytics it is possible to analyse social interactions. The social interactions function is built to measure how many times users click on social buttons embedded within social media platforms. For example, it can record how many Facebook likes are given or receive or it can monitor the tweet function on twitter. Alongside event tracking which measures general user interactions, social analytics focus solely on providing a framework of all social interactions you perform. This tool can be used on both web applications and mobile apps. From collecting this data, it will give an insight into a person’s social interaction. By gathering a baseline at some point, it may be possible to see if there is a decline in social interactions which could indicate cognitive impairment. The only issue with monitoring social media is that people might feel as though their privacy is being invaded.",Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,1
Tone analyser ,IBM watson developer cloud ,https://tone-analyzer-demo.ng.bluemix.net/,Online application,"This software analyses the relationship between text tones and the linguistic characteristics of the text. The results produced are separated into three categories, emotional tone, social tone and language tone. Emotional tone is the presence and absence of 6 emotions. 0 indicating absence and 1 indicating the emotion is present, social tone is the measure of social tendencies using Big Five personality model categories, and language tone is how the writing is perceived. The use of this software requires the knowledge of the type of writing that is present for better results. It also gives sentence break downs to provide information about the emotions present in certain sections. There are three options when purchasing the software, lite, standard and premium. Each of these costs different amount and offer different experiences. The lite version only allows the use of the software for a month for free and then you must purchase the standard to continue. The pricing is based per the number of API calls. Premium offers a higher level of security and isolation to help manage sensitive data.",Active,,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
Receptiviti,Receptiviti ,https://www.receptiviti.com/,Software ,"Receptiviti is a company which have developed software for businesses so that they can better understand their employees. They have two pieces of software, one designed for cultural transformation and the other for executive and leadership intelligence. The cultural transformation programme correlates more with emotion detection for dementia study as it analyses a wider range of moods. This technology can quantify levels of stress, disengagement, fatigue, disgruntlement, risk balance, engagement, empowerments, and satisfaction for specific teams in a workplace. It does this through the analysis of voices, email and messages. The accuracy of this software for individual evaluation is not stated and may need to be evaluated. It may be possible that stress could correlate with agitation, disengagement with apathy disgruntlement with irritability, however, these specifics would need to be investigated. If this were true, then this software may be useful for early detection of dementia through mood detection.",,portable,Non-wearable,FALSE,FALSE,TRUE,,,,,,0.5,
Autosleep tracker for watch ,Tantsissa,"http://autosleep.tantsissa.com/#targetText=If%20you%20wear%20your%20Apple,the%20amount%20of%20time%20sleeping.",app,"Autosleep tracker for watch is an app developed by Tantsissa which can monitor sleep. This app is fully automatic and doesn’t require intervention from the individual using the device. There are two ways to use the app, with and without wearing an apple watch. If the app is used without wearing an apple watch the data collected is limited only to duration of sleep and is measured from the time you take the watch off to the time you put the watch back on. Wearing the apple watch during sleep enables the collection of the additional information. This app displays the data in graphs allowing for easy tracking of sleep over time. This app still requires clinical validation, specifically compared to PSG. Overall, this app could be used in early detection of dementia, however only if an apple watch is also used.",Passive,portable,Non-wearable,FALSE,FALSE,TRUE,2.99,,1,0,0,1,
Complete™ Wireless Upper Arm Blood Pressure Monitor + EKG,OMRON,https://omronhealthcare.com/products/complete-upper-arm-blood-pressure-monitor-ekg-bp7900/,ECG and BP cuff,"Developed in partnership with ActivCor the Complete™ Wireless Upper Arm Blood Pressure Monitor + EKG takes both blood pressure and ECG readings at home for patient use. It has a holder for a phone which it connects to via Bluetooth and uses as a screen to present readings, instructions for use, and record results. The user attaches the BP cuff and places fingers and thumbs on appropriate electrode plates on the holder. It is also compatible with Alexa devices.",Active,portable,Upper arm,FALSE,FALSE,TRUE,160.06,160.06,1,0,1,1,1
Cardiio Rhythm,Cardiio inc,https://www.cardiio.com/,app,"Manufactured by Cardiio Rhythm based in Massachusetts, Cardiio is a fitness tracking app available on both Android and iOS operating systems. The application can monitor heart rate using PPG and a facial recognition method. This allows the app to estimate endurance or life expectancy, however these are not for medical use. The company are developing AI software which may allow prediction of atrial fibrillation arrhythmias which would allow stroke prediction. These would require measurement of PPG via phone cameras and measure PPG directly which is available on wearables.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,0.5,0,0.5,1
wGT3X-BT,Actigraph,https://www.actigraphcorp.com/,wearable ,"The device has no screen. It can be worn on the wrist, waist, ankle or thigh. It has a maximum sample rate of 100Hz. Actigraph is a company dedicated to developing wearable devices which collect a wide range of data. A large amount of data collected by these devices is related to sleep. Actigraph have created three wrist wearables, the wGT3X-BT, Actigraph GT9X Link and the CentrePoint Insight watch. All these devices measure raw acceleration, energy expenditure, MET rates, physical activity intensity, activity bouts, sedentary bouts, sleep latency, total sleep time, wake after sleep onset and sleep efficiency. In addition to all these the Actigraph GT9X Link also includes activity counts, steps taken, body position and Heart Rate R-R intervals. The price per unit for these watches is approximately £180 ($225) for the wGT3X-BT, £221 ($275) for the Actigraph GT9X Link and £280 ($349) for the CentrePoint Insight watch. These devices have been used in clinical trials and was used in a study to prove collecting objective data from technology over subjective data from sleep questionnaires was more reliable in AD patients, especially early in the course of the disease (Most et al., 2012). Although these devices have been used successfully in sleep studies it is worth noting that accelerometer technology can be flawed. It has been seen that these types of devices find it hard to detect whether a person is lying in bed relaxing or asleep and can often provide incorrect data due to this. However, these technologies have still proved to be useful in sleep analysis, especially outside of a clinical setting. Overall, these wearables have the potential to be used in early detection of dementia.",Passive,portable,Wrist,FALSE,FALSE,TRUE,181.91,282.16,0.5,0.5,0,1,
GT9X Link,Actigraph,https://www.actigraphcorp.com/,wearable ,"A small device with an LCD screen which can be used with different types of holster. This allows the user to wear the device on the wrist, waist, ankle or thigh. The device contains an inertial measurement unit with a 100Hz sample rate to measure raw acceleration, energy expenditure, MET rates, physical activity intensity, activity bouts, sedentary bouts, sleep latency, total sleep time, wake after sleep onset and sleep efficiency. In addition to all these the Actigraph GT9X Link also includes activity counts, steps taken, body position and Heart Rate R-R intervals. The price per unit for these watches is approximately £221 ($275) for the Actigraph GT9X Link . These devices have been used in clinical trials and was used in a study to prove collecting objective data from technology over subjective data from sleep questionnaires was more reliable in AD patients, especially early in the course of the disease (Most et al., 2012). Although these devices have been used successfully in sleep studies it is worth noting that accelerometer technology can be flawed. It has been seen that these types of devices find it hard to detect whether a person is lying in bed relaxing or asleep and can often provide incorrect data due to this. However, these technologies have still proved to be useful in sleep analysis, especially outside of a clinical setting. Overall, these wearables have the potential to be used in early detection of dementia.",Passive,portable,Wrist,FALSE,FALSE,TRUE,181.91,282.16,0.5,0.5,0,1,
Insight Watch,Actigraph,https://www.actigraphcorp.com/,wearable ,"A smartwatch with an LCD screen, up to 256Hz sampling rate and integrated cloud infrastructure with an API and web portalActigraph is a company dedicated to developing wearable devices which collect a wide range of data. A large amount of data collected by these devices is related to sleep. Actigraph have created three wrist wearables, the wGT3X-BT, Actigraph GT9X Link and the CentrePoint Insight watch. All these devices measure raw acceleration, energy expenditure, MET rates, physical activity intensity, activity bouts, sedentary bouts, sleep latency, total sleep time, wake after sleep onset and sleep efficiency. In addition to all these the Actigraph GT9X Link also includes activity counts, steps taken, body position and Heart Rate R-R intervals. The price per unit for these watches is approximately £180 ($225) for the wGT3X-BT, £221 ($275) for the Actigraph GT9X Link and £280 ($349) for the CentrePoint Insight watch. These devices have been used in clinical trials and was used in a study to prove collecting objective data from technology over subjective data from sleep questionnaires was more reliable in AD patients, especially early in the course of the disease (Most et al., 2012). Although these devices have been used successfully in sleep studies it is worth noting that accelerometer technology can be flawed. It has been seen that these types of devices find it hard to detect whether a person is lying in bed relaxing or asleep and can often provide incorrect data due to this. However, these technologies have still proved to be useful in sleep analysis, especially outside of a clinical setting. Overall, these wearables have the potential to be used in early detection of dementia.",Passive,portable,Wrist,FALSE,FALSE,TRUE,181.91,282.16,0.5,0.5,0,1,
Sea Hero Quest VR,GLITCHERS/ Deutsche Telekom,http://www.seaheroquest.com/site/en/credits,app,"Collaboration between Deutsche Telekom, GLITCHERS game development, ARUK, UCL
and University of East Anglia. Sea Hero Quest is a game designed to
test various aspects of navigational ability in an engaging way. It
is based off the Morris Water Maze navigational test developed for rodents. The
addition of VR to the standard app is hoped to provide additional information
about the individual’s experience of navigation, for example pausing to look
around if disoriented. 

Data can be collected from the general population to provide a baseline for
performance as age and gender varies (Coughlan
et al., 2019). Although this data may be developed into a meaningful diagnostic
in the future, at present this app is only a research tool.

",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,0.5,0,0.5,0.5
Complete™ Wireless Upper Arm Blood Pressure Monitor + EKG,OMRON,https://omronhealthcare.com/products/complete-upper-arm-blood-pressure-monitor-ekg-bp7900/,ECG and BP cuff,"Developed in partnership with ActivCor, OMRON Complete™ Wireless Upper Arm Blood Pressure Monitor also has EKG. The device is capable of blood pressure and ECG measurements in a home-based environment. The design of the device includes a phone holder allowing connection via Bluetooth. This setup further allows the phone to be used as a display screen to look at measurement results, instructions for device use and along with the ability to record results. To operate the device, the patient attaches the blood pressure monitor cuff to the upper arm and places fingers and thumbs on electrode plates present on the holder. The device is compatible with Alexa devices allowing data sharing etc.",Active,portable,Upper Arm,FALSE,FALSE,TRUE,160.06,160.06,1,0,1,0.5,1
Linguakit,Cilenis Language Technology,https://linguakit.com/en/full-analysis,app,,Active,static,Non-wearable,TRUE,FALSE,TRUE,0,0,1,0,0,0.5,0.5
BioStamp nPoint,MC10,https://www.mc10inc.com/,wearable plaster,Adhesive wearable which can be used anywhere on the body.,Passive,portable,Arm,FALSE,FALSE,TRUE,2001.92,2001.92,0.5,0.5,2,1,
Mimi hearing test ,Mimi,https://www.mimi.io/mimi-hearing-test,App,"Mimi hearing test is an app-based hearing test which takes approximately 6 minutes to complete. This app is specifically calibrated to use only apple EarPods, apple AirPods, beyerdynamic Aventhos (wired) and Sennheiser HAD 200 and 300. It is noted that the type of headphones used might affect the performance of the individual. The test also requires a quiet place to take the test and will pause it at any time during if the space becomes too loud. The test on this app requires the individual to tap a button when a noise is heard and then release it when a noise is no longer heard. The noise varies throughout the test specifically to measure lots of different pitches. The app then asks questions about gender and age in order to produce a report. The report includes an overall level of hearing loss from none to slight to mild to moderate to severe according to WHO classification criteria for hearing loss. As it analyses your hearing in each ear it also gives a comparison for which ear hears better. The input of age also allows the app to make a comparison of hearing to other people of a similar age and indicates better hearing, average hearing or worse hearing. Another function of this app is that it can track your hearing over time. It does this by sending notifications when the next tests should be taken. It also gives advice on if a person’s hearing is to a level where they should seek medical assistance. Overall, this app seems promising and should undergo clinical validation for its use in early detection of dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
Moment,Moment Health Inc.,https://inthemoment.io/,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,88.87,1,,,0.5,1
AntiSocial,AntiSocial,http://www.antisocial.io/,app,"Antisocial is an app that has been developed for parents to monitor their child’s phone usage. It can access information about how long they spend on specific social media apps, games and emails. This gives a good insight into how a person communicates with the world and ultimately how sociable they are. This technology is available for free for 2 weeks and then it is priced at £2.98 per month. There are two versions of this app, Antisocial Personal and Antisocial Paired. Antisocial Personal allows the owner of the smartphone to track their own usage over time. Antisocial paired allows the data from a smartphone to be displayed on another device. This version may be more suitable for a patient doctor relationship as the clinicians could keep track without the patients having to make an appointment. The app displays data using graphs which can track usage over time. These graphs also compare the user’s usage to an average, however, how this average is calculated is not specified. This app gives a detailed insight into a person’s activities online and may be able to show any unusual behaviours characteristic of someone who might develop dementia",Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,170,1,,,0.5,1
Screen Time,Screen Time Labs,https://screentimelabs.com/ ,app,"ScreenTime is a mobile application used by parents to monitor their childs phone usage. This app could be useful in analysing social activity as it monitors social media usage. There are two versions of this app, basic monitoring and premium. Basic monitoring is the free option for the app and includes access to app usage but is limited to only one device. The premium option is purchased by a subscription of £5.49 per month and unlocks location-based features. This upgrade also allows for monitoring of 5 devices per account which may give a better overview of a person’s social interactions. The location features specific to premium may also provide a better understanding of social activity through its geo-trips and location tracking software. These additions to the app could gather data on locations which indicate social engagement, such as a bar or a library. The relationship between this data and social interaction would need to be investigated further.",Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,,,0.5,1
BiText ,BiText,https://www.bitext.com/api/,API,"Bitext is an API platform with the ability to analyse text. Text can be sent to the API with a maximum of 1000 characters per call. This software can extract information from text including emotion. It has a feature called sentiment analysis which can evaluate, extract and quantify emotional state and attitudes to topics within the test, and is presented through a polarity score. It may be possible to detect signs of apathy through low polarity scores however this would have to be investigated. This technology has not been clinically validated and is not designed for a medical purpose.",Active,,Non-wearable,FALSE,FALSE,TRUE,,,,,,0.5,
Affectiva ,Affectiva,https://www.affectiva.com/,App,"Affectiva is a live emotion detecting app. This software can detect six emotions, sadness, disgust, anger, fear, contempt and joy. It does this by analysing pixels at twenty points on the face. This company has the largest emotions database with 12 billion action points from 12 million participants. This app is free to download; however, this excludes companies which earn over approximately £800,000 ($1 million) annually which also have no academic purposes. There are some limitations to this technology which could prevent its use in early detection of dementia. Firstly, the emotions detected are not directly the moods specifically link to dementia. It is possible that anger measurement would relate to agitation/irritability and sadness may link to depression however, this would need to be investigated. Secondly the software is unable to collect data when the application is not loaded. This limits the amount of data that can be collected and prevents long term analysis. Finally, long term analysis is also prevented by the lack of data storage. If these limitations were overcome, then this technology could be good for identification of the prevalence of moods linked to dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
nViso ,NVISO visual intelligence ,https://www.nviso.ai/en/products,Visual intelligence ,"NVISO have developed an app capable of real time emotion detection based on facial expressions. This app can identify happiness, sadness, surprise, disgust, fear, anger and neutral. It not only indicates the primary emotion detected but it also produces a graph of emotions. This graph is produced in real time and displays levels of each of the emotions, providing a better insight into how a person may be feeling. An issue with this app is its data storage. Once the app is exited or another feature is used within the app detection stops and the data is lost. This means long term analysis is not possible. Being able to observe emotion over time will increase accuracy of a physician’s conclusion when determining the risk of developing dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
emoods ,Tottaram LLC,https://apps.apple.com/gb/app/emoods-bipolar-mood-tracker/id1184456130,App,"Emoods is an app developed by Yottaram LLC. This app is designed to help patients suffering from bipolar disorder to manage their symptoms by keeping track of mood over time. The app includes a questionnaire which is made up of questions asking about the severity of moods experienced during the day. These moods include, depression, elevated mood, irritability, and anxiety, common emotions linked to dementia. It also collects additional information about duration of sleep and weight. The data collected from the questions is then presented in graphs, allowing the individual to keep track over time. This app is private and allows the data to remain secure between doctor’s visits. Although not made for dementia this app could be useful in detecting signs of increased risk, due to a change in prevalence of certain moods. The ability to identify these moods through this format would have to be tested to ensure accuracy and specificity in relation to dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
Fitbit versa 2,fitbit,https://www.fitbit.com/uk/shop/versa,wearable ,"Fitbit have designed a health and fitness smartwatch called fitbit versa 2. The fitbit versa 2 has continuous heart rate tracking and produces a sleep score reflective of sleep quality. The sleep score is determined by heart rate, total duration of sleep, restlessness and breathing. These scores could be used to detect early signs of dementia; however, this connection would need to be investigated. The issue with using this technology for healthcare, specifically related to dementia, is the unrelated features. This device has lots of different features which are unnecessary for early detection. This means that using this device may lead to data which is not worth the expenditure.",Passive,portable,Wrist,FALSE,FALSE,TRUE,199,219.99,1,0,0,1,
YourHour,Mind-e-fy Solutions,https://www.yourhour.app/ ,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,4.99,1,,,0.5,0.5
Braincheck ,BrainCheck inc ,https://www.braincheck.com/,App,"BrainCheck is an iOS app which is open to the public. It is comprised of a series of tests which are said to detect cognitive impairment. It has two separate programmes, a sport and a memory programme. The sport programme is aimed at detecting signs of concussion and the memory programme is used to detect any signs of cognitive impairment. The tests are immediate and delayed recall, the Stroop test, digital symbol substitution test and trail test A and B. The tests take about 10 minutes to complete and produce results as a point on a scale. There is no quantitative value for each result. There are 5 results produced which signify cognitive processing, executive function, visual attention and immediate and delayed recall. The scale goes from low to high with an intermediate bar indicating the average range. It is hard to interpret the results as they don’t say exactly what is meant by the measurements. The tests are easy to understand but could be subject to the practise effect, especially as this app is open to the public. This app has been used in clinical studies, specifically related to dementia. A study in 2019 found that BrainCheck is a significant tool for measuring cognitive impairment in older adults and that the scores significantly correlated with scores on the SLUMS, MMSE, MoCA tests and a physician’s diagnosis. They suggest that this software still needs future research into its ability as a whole to detect mild cognitive impairment as well as dementia (Groppell et al., 2019). Overall, this app has the potential to be used in early detection of dementia as it analyses many areas linked to impairment in dementia and it is cheap and easy to use. The only issue would be the possibility of practise effect which would have to be investigated.",Active,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,0.5,,0.5,
Livio AI,Starkey Hearing Technologies,https://www.starkey.com/hearing-aids/technologies/livio-artificial-intelligence-hearing-aids,PPG hearing aid,"Hearing aid with built in sensors for health monitoring. This includes fall monitoring, PPG, and step counting which can be viewed in an app. It also offers Translation in 27 languages, Alexa connectivity, Voice-to-text Transcription, User interface with tap control, Self-Check for hearing performance, Thrive Virtual Assistant (built on Google Assistant). They have plans to move into social monitoring to predict dementias early using depression and more general social interactions as indicators.",Passive,portable,Ears,FALSE,FALSE,FALSE,1995,3795,0.5,0,1,0.5,
Amplivox,Amplivox,https://www.amplivox.com/,Portable audiometers,"Amplivox is a company which sells medical grade portable audiometers. They sell a variety of devices, some specific for screening and others for diagnostics. They also sell a piece of technology called the ER75 Electro-acoustic ear simulator which is used to automatically validate the audiometers. Validation occurs in under 5 minutes and ensures the most accurate results. These devices are more complex than the newly developed iPad-based audiometers, so the company offers courses on how to administer the hearing test using these devices. These devices can only be used by healthcare professionals or researchers and don’t have the capabilities to self-administer.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,,,,,1,0,
Pupil Core,Pupil Labs,https://pupil-labs.com/,eye movement tracking glasses,"Pupil Labs offer a wearable eye tracking device, with open source 
software. The headset is modular and so can be adapted to research 
needs; it can be mono- or bi-ocular, designed for first person view or 
detailed eye motion studies. They also offer an online guide and 
community to support individuals taking a DIY approach to building or 
customising the headset and software. Pupil Core offers basic eye 
tracking. Devices can also be made 
compatible with Virtual Reality headsets: HTC Vive and Vive PRO VR, 
Microsoft HoloLens AR, and Epson Moverio BT-300",Passive,portable,Face,TRUE,FALSE,TRUE,"1,275.36","2,478.54",0.5,0,0,0.5,
