name,description,disease types,Modality
Rhythm,"Characteristics of rhythm (step, swing, and stance time) were also found to be impaired in AD when compared to controls. (McArdle R et al., 2017) 
In LBD, characteristics of rhythm were found to be impaired compared to controls. (Fritz et al., 2016).","AD, DLB",Gait
Asymmetry,"Characteristics of asymmetry (step time, swing and stance asymmetry) found no significant difference between AD, MCI and controls.",AD,Gait
Postural control,"Characteristics of postural control were not found to be different between controls and LBD (Fritz et al., 2016) or between controls VaD (Tanaka et al., 1995). Characteristics of postural control found no significant differences between AD and controls. (McArdle R et al., 2017) ",,Gait
gait variability,"In older persons with MCI (mild cognitive impairment), high temporal gait variability is associated with a smaller volume of the primary motor cortex (Dric Annweiler et al., 2016) however not with smaller hippocampal volume (Beauchet et al., 2015). Dual-task gait tests displaying high temporal gait variability has been associated with primary motor cortex neuronal integrity loss as well. In older persons with MMI (mild memory impairment), high spatial gait variability is associated with hippocampal neuronal integrity loss (Zimmerman et al., 2009) 

Increased gait variability has also been linked to impairment of attention and executive functioning (Ries et al., 2009). Executive function which is another biomarker for neurodegenerative diseases has a correlation with gait variability with the extent of executive dysfunction is correlated with degree of variability of stride time (Hausdorff et al., 2005). It should be noted however that while gait variability may be indicative of changes due to ageing and/or cognitive impairment, the associated changes in the brain are yet unclear (Tian et al., 2017) 

Characteristics of gait variability in AD (step velocity, step length, and step width variability) shows inconsistent results between studies with almost equal numbers finding increase while an equal number not reporting an increase. (McArdle R et al., 2017). Characteristics of rhythm were found to be impaired compared to controls. Characteristics of gait variability found no group differences between LBD and PD (Fritz et al., 2016). For gait impairments in VaD, characteristics of pace are found to be reduced in VaD when compared to controls. ",VD,Gait
Hearing loss,"Hearing loss can be defined in multiple ways, but it is ultimately the impaired function of the auditory pathways. The pathways involved impact the different types of hearing loss experienced. Hearing loss can be separated into two separate categories, central hearing loss and peripheral hearing loss (Harvard Health Publications, 2019). Both types of loss have been mentioned in association with dementia, specifically how they can affect the risk of dementia development.  

Central hearing loss occurs due to the impairment of the central auditory pathways (CAP). A main part of the CAP is the medial geniculate body (MGB) (Gray, 1997). The MGB is a thalamic relay neuron which has the key responsibility of passing information on to areas within the cerebral cortex which are responsible for understanding the signals (Amunts et al., 2013). Damage to this area will cause problems in the comprehensions of speech, especially in loud environments such as a busy café or train station. People experiencing this problem are then said to have a central auditory speech processing disorder (Gates et al., 2002). This relates strongly to AD as it has been noted that senile plaques and neurofibrillary tangles have been found within the medial geniculate body of people suffering with AD (Sinha et al., 1993). This damage would explain the impairment of the CAP. There have been several studies which have investigated the ability of CAP in AD patients. For example, a study in 2011 by Idrizbegovic investigated the performance of AD patients, compared to controls, on a test specified for testing CAP. This study found that the performance of AD patients was significantly poorer than that of the controls. They also found that the test could differentiate between people with MCI and cognitively normal people. This is important for determining dementia risk as within the following 3 years 20% of MCI patients developed dementia, and 70% of these were diagnosed with AD (Idrizbegovic et al., 2011). This means that it is possible to detect the cognitive impairment, which could deteriorate into dementia, as early as in mild cognitive impairment.  

Peripheral hearing loss has also been linked to AD. It has been said that this type of hearing loss could cause the decline of cognition to accelerate leading to diagnosis of dementia (Hardy et al., 2016). Peripheral hearing loss occurs due to problems with the structures that make up the ear. These problems can be subcategorised into conductive and sensorineural hearing loss (Harvard Health Publications, 2019). These types are centred around the inability for the ear to transmit signals to the brain effectively. This means that the brain isn’t yet involved in the deterioration of hearing and so cannot be explained by any significant cognitive decline. This adds to the association that the impairment of hearing can lead to the decrease in cognitive health as it occurs prior to the symptoms of cognitive worsening. When investigating peripheral hearing loss, the most common technique is pure tone audiometry (Zheng et al., 2017) which is the gold standard technique for measuring overall hearing loss.  

Overall, the use of hearing loss as a marker for dementia, particularly AD, is promising. There are several studies which support the ability for hearing loss to act as a predictor for dementia. These are especially good as the time between hearing loss detection and onset of dementia is many years in the future, meaning it is possible in use for early detection (Idrizbegovic et al., 2011; Gurgel et al., 2014; Deal et al., 2017).",AD,Hearing
Sound aversion,"Sound aversion is the adverse response to sounds and noises, presenting through strong abnormal behaviours. Sound aversion has been seen to occur in patient’s frontotemporal dementia and Alzheimer’s disease. Specifically, within FTD the subtypes most likely to exhibit this behaviour are bvFTD and semantic dementia (SD). FTD diseases are said to experience this symptom due to the loss of gray matter in the nucleus accumbens (Fletcher et al., 2015). The nucleus accumbens is part of the reward system within the brain, paired with dopamine release (McCutcheon et al., 2012). This function has been linked to the core of the nucleus accumbens, however there is another section of this structure which has been defined as having a response function to non-rewarding stimuli, this area is called the shell of the nucleus accumbens (Ambroggi et al., 2011). It has been found that projections within the shell respond to adverse stimuli by a suppression of the release of dopamine (McCutcheon et al., 2012). From this it is possible to infer that the phenomena of sound aversion in FTD patients is due to the failure of the mechanisms within the core, resulting in the pathways within the shell being activated. This opposite stimulation could result in the abnormal behaviours seen. Another similar behaviour observed within FTD patients is aversion to music. This differs compared to normal sound aversion as it affects areas of the brain other than the nucleus accumbens. Music aversion has been associated with loss of gray matter in the right anterior temporal cortex, entorhinal cortex hippocampus, amygdala and the bilateral mid and posterior insula (Fletcher et al., 2015). The insula has a strong link to central auditory processing at it receives neuron projections from the primary auditory, auditory association, and post auditory cortices. Deficits within the insula have been seen to impact central auditory processes and these can manifest through problems in sound detection, non-verbal stimuli and phonologic processing (Uddin et al., 2017).  

In comparison to other dementia types AD also exhibits sound aversions (Fletcher et al., 2015; Hardy et al., 2016), however the pathophysiology is different. Upon inspection of AD patients, it has been found that there is significant gray matter loss in the anterior cingulate cortex (Fletcher et al., 2015). Sound aversion, in AD, is one of the main behaviours observed alongside hearing loss. Therefore, coupling hearing loss and sound aversion into a single profile would allow people at risk or in the early stages of AD be identified.  ","FTD-SD, bvFTD, AD",Hearing
Musicophilia,"Musicophilia is the abnormal obsession with listening to music. This phenomenon has been noted in patients with FTD, specifically SD (Fletcher et al., 2015). This behaviour although accepted is not widely understood. There have been many studies which have tried to investigate the cause of this abnormality, specifically its link to dementia. However, although evidence has been found for the involvement of parts of the brain the pathophysiology is yet to be determined. Despite this the evidence strongly points towards the structure and function of the mesial temporal lobe as main factor (Fletcher, Clark and Warren, 2014).  

The mesial temporal lobe is an area of the brain made up of the hippocampus, amygdala and parahippocampal region (Bernasconi et al., 2003). It has been noted that the hippocampus undergoes changes when musicophilia occurs. These differences include the significant increase in gray matter volume in the left posterior hippocampus (Fletcher et al., 2013) and the atrophy of the anterior hippocampus (Laakso et al., 2000). This link with the hippocampus could also be related to obsessive compulsive disorder (OCD). Musicophilia has previously been associated with OCD (Zungu-Dirwayi et al., 1999). It has been found in patients that experience high level OCD symptoms that there is a significantly lower hippocampal volume (Reess et al., 2018). The lower hippocampal volume of OCD can be associated with the hippocampal atrophy seen in FTD despite the links to increased gray matter in the posterior hippocampus. Gray matter volume in the posterior has been seen to remain the same instead of increase (Fletcher et al., 2013) meaning the association could be possible. This means that the OCD symptoms relating to the changes in the hippocampal volume could be expressed through the craving for music observed in FTD patients.  

In addition to the hippocampus the amygdala could also be an important area in understanding musicophilia. The amygdala, which is a bilateral mesial temporal lobe structure, has been linked with the strong emotional responses linked to certain stimuli such as music (Rohrer, Smith and Warren, 2006). In patients with SD observations have been made of atrophy of the bilateral temporal lobe (Baird, 2019). This means that the damage to the lobe in SD could result in the abnormal obsession with listening to music. Musicophilia is an important behaviour in the early detection of SD as not only is it most commonly found in this type of disease, but it is also the most prevalent symptom in relation to hearing within this dementia subtype (Fletcher et al., 2013, 2015).",FTD-SD,Hearing
Auditory hallucinations,"The term auditory hallucinations cover a wide range of auditory phenomena experienced by an individual. Auditory hallucinations are common in some dementia subtypes, specifically DLB and FTD-SD (Hardy et al., 2016) and so could act as good biomarkers for early detection. A positive aspect of using auditory hallucinations is that they differ between the types of dementia allowing specific inferences to be made on the risk of developing which subtype.  

A common auditory hallucination is called tinnitus. Tinnitus has been specified to occur in patients suffering from FTD-SD (Mahoney et al., 2011; Hardy et al., 2016). It is defined as the presence of abnormal auditory perception (manifesting as ringing within the ears (Eggermont and Roberts, 2004)) in the absence of an external source (Mahoney et al., 2011). There have been several studies proposing the possible pathophysiology for tinnitus and it is still currently being debated. For example, Eggermont in a 2011 paper suggested that the phenomena were due to the coupled effects of hyperactive peripheral neurons and underactive modulating or inhibitory central neurons. They stated that this affect would negatively impact the central circuitry in the brain resulting in the unique abnormality (Eggermont and Roberts, 2004; Mahoney et al., 2011). In addition to the study there have been others which have specified specific areas of the brain. These areas of the brain include the orbitofrontal cortex, hippocampus, parahippocampus, amygdala, anterior cingulate cortex and the anterior insula (Mahoney et al., 2011; Ryan and Bauer, 2016; Schultz, Sepehry and Greer, 2018). Looking specifically into SD patients the observation of an atrophic effect on the orbitofrontal cortex has been found in relation to tinnitus (Mahoney et al., 2011). This area of the brain receives auditory projections from the other areas of the brain (Rolls, 2004) supporting the idea that it could be involved in the pathophysiology of tinnitus. Not only is tinnitus a good marker for being specific to SD but it has also been associated with a decrease in the cognitive performance (Clarke et al., 2018; Schultz, Sepehry and Greer, 2018). For example, a 2004 study conducted by Hallam found that people with tinnitus were less efficient at performing cognitive tasks than controls (Hallam, Mckenna and Shurlock, 2004). Another study also concluded that cognition was impacted by tinnitus due to its effects on cognitive capacity needed to complete specific tasks (Rossiter, Stevens and Walker, 2006). These links show that there is potential for tinnitus to be used as an early detector for SD or even a factor for increased risk for SD development.  

Auditory hallucinations are also observed in people suffering from Dementia with Lewy Bodies. However, instead of tinnitus patients are said to report hearing voices and muffled sounds. It has also been said that some experience musical hallucinations (Donaghy, O’Brien and Thomas, 2015; Hardy et al., 2016; Donaghy et al., 2018; Tsunoda et al., 2018). The hearing of voices is widely connected with schizophrenia; however, this could be a misdiagnosis. The presence of these auditory hallucinations could be predictive of DLB. This link was recently made in a 2018 case study by Hindi when monitoring the health records of a man over the space of just over a year. The records for this study begin at the admittance of the man into hospital due to claims of him hearing voices. The conclusion to this was that he had schizophrenia. However, over the course of a year the man’s health deteriorated until he presented with symptoms indicative of DLB (Hindi and Lawrence, 2018). This could mean that DLB and schizophrenia share a similar pathophysiology for this hallucination. This could potentially mean that people diagnosed with schizophrenia based on this symptom are also at risk of developing DLB in the future. It has been observed in patients with schizophrenia that there is an activation of an area of the brain called the Heschl gyrus when auditory hallucinations occur (Dierks et al., 1999). It could be that this area is also activated in patients with DLB, when this symptom occurs, explaining the link. ","DLB, FTD-SD",Hearing
Visual acuity,"Visual Acuity (VA), or the sharpness or clarity of vision, is expected to decline with age (). There is mixed evidence for the enhanced deterioration of VA in AD patients compared to controls (Rizzo, Anderson and Nawrot, 2000; Froiman and Elias, 2013; Polo et al., 2017). Stover & Brown (2012) found a significant deterioration of VA using the APPswe/PS1dE9 murine model of AD, an effect which was not replicated using the C57BL/6J model (Buscher et al., 2017). Loss of VA has been found to correlate with decreased macular pigment (Nolan et al., 2014), which in turn is linked to cognitive function (Feeney et al., 2013). Differences in VA have not been found in DLB (Armstrong, 2012) and are not reported for any other dementia type.",AD,Ocular function
Colour vision,"There is some evidence that AD patients may experience defects in colour vision (Wood et al., 1997; Polo et al., 2017) independent of disease progression (Pache et al., 2003). Polo et al. (2017) found impairment in colour vision, assessed via the Farnsworth and L'Anthony D-15 tests, to be correlated to macular volume.",AD,Ocular function
Depth perception,"Alterations in stereoacuity, or ability to perceive depth have also been noted in AD, particularly in the Posterior Cortical Atrophy (PCA) variant (Kiyosa et al., 1989; Meadows, 1996; Thiyagesh et al., 2009; Gillebert et al., 2015) and VD (Mittenberg, Choi and Apple, 2000). Problems with depth perception has also been identified in DLB, with individuals reporting visual hallucinations being most severely affected (Mori et al., 2000). Decline in depth perception ability is likely due to cortical degeneration (Mittenberg, Choi and Apple, 2000; Gillebert et al., 2015; Bridge, 2016). PD patients experiencing abnormal stereopsis perform worse on colour discrimination and motor function tasks, independent of cognitive impairment (Sun et al., 2014) indicating that visual impairment in this context may not be linked to PD related dementia.","AD, VD, DLB",Ocular function
Motion perception,"Individuals with AD, DLB and PDD also present with defects in motion processing, with AD patients showing the greatest impairment (Landy et al., 2015).","AD, DLB, PDD",Ocular function
Pupillary function,"Aside from these visual processing differences, there is much interest in pupillary function and eye movement as these can be objectively and non-invasively measured using eye tracking technologies. This allows for a simple way to analyse parasympathetic function, of relevance to AD given that Acetylcholine (Ach) is the major neurotransmitter responsible for these processes, with cholinergic defects well accepted as a hallmark of this disease (Wang et al., 2016; Van Stavern et al., 2019). There is mixed evidence to support hypersensitivity to cholinergic antagonists as observed via pupil dilation as a useful diagnostic tool for AD (Scinto et al., 1994; Caputo, Casartelli and Perrone, 1998; Takagi et al., 1999). A review of Pupillary Light Response (PLR) found maximum velocity of constriction (MCV) and maximum constriction acceleration (MCA) to be the most accurate measures for identifying AD (Chougule et al., 2019), however, they note that this difference may not be so clear in MCI or preclinical AD (Bittner et al., 2014; Van Stavern et al., 2019).  Although PLR may be a good indicator of parasympathetic function (Wang et al., 2016) its use as a diagnostic tool for AD is still debated (Chougule et al., 2019).",AD,Ocular function
Contrast sensitivity,"It is reported that dementia patients with AD (Lakshminarayanan et al., 1996; Crow et al., 2003; Neargarder et al., 2003; Risacher et al., 2013; Tzekov and Mullan, 2014; Polo et al., 2017; Oishi et al., 2018), DLB (Oishi et al., 2018), and VD (Lakshminarayanan et al., 1996) have an increased contrast sensitivity threshold compared to controls but measuring this may be confounded by the visual acuity of and individual (Neargarder et al., 2003). There is also some evidence that decreased contrast sensitivity could be detected at the stage of MCI using a Frequency doubling technology (FDT) method (Risacher et al., 2013). Decreased contrast sensitivity likely contributes to many of the problems dementia patients experience with day to day functioning, falls and visual hallucinations (Cormack, Tovee and Ballard, 2000).","AD, DLB, VD",Ocular function
Eye movement,"Changes in the ability of the eye to perform rapid short movements and smooth movement, and its ability to track moving objects are seen in dementia and can also be measured non-invasively. There is also hope that differences in ocular movement may provide signs to distinguish dementia type or early onset. Cognitive ability and saccade latency have been found to correlate in AD patients with amnesiac MCI also showing saccade latency in specific conditions (Yang et al., 2013). Smooth saccadic movement appears to be a problem in AD (Fletcher and Sharpe, 1986; Zaccara et al., 1992; Boxer et al., 2012; Yang et al., 2013; Chang et al., 2014). AD can be differentiated from FTD by increased horizontal saccade latency although both groups show deficits in ocular movement (Boxer et al., 2012). Saccade latency has also been reported in DLB (Brett, Henson and Staunton, 2002). Rösler et al. (2005) reported abnormal visual search patterns in subcortical vascular dementia (SVD) which they suggest results from cognitive impairment slowing their progress rather any problem with ocular movement. 

There are relatively few studies which directly compare dementia subtypes and their eye movement impairment. Mosimann et al. (2005) found AD patients impaired in performing complex saccades and PD patients in reflexive saccades, however, PDD and DLB showed similar impairment in reflexive and complex saccades. This allowed them to distinguish DLB from AD and PDD from PD (Mosimann et al., 2005). Comparison of FTD, svFTD, PNFA, Corticobasal Syndrome (CBS), Progressive Supranuclear Palsy (PSP), and AD found that, except for svFTD, all patients showed abnormal saccades (Garbutt et al., 2008). PSP patients showed greatest impairment with abnormal saccade velocity, gain, and anti-saccade production with CBS and AD patients also showing alterations in saccade gain and reduced performance on an anti-saccade task. Interestingly FTD and PNFA also showed reduced performance on the anti-saccade task but could correct this comparably to controls giving several distinct profiles which could be investigated further to produce diagnostic profiles (Garbutt et al., 2008).  

Although impairment of visual attention is problematic when assessing aspects of ocular function discussed above, it can indicate dementia. AD sufferers appear more susceptible to distractors, or unable to ignore non-essential information (Sala et al., 1992; Baddeley et al., 2001; Levinoff et al., 2004; Landy et al., 2015) which may point to a defect in inhibitory selective attention (Levinoff et al., 2004). However, this is not a consistent finding (Fernandez-Duque and Black, 2008). Impairments have also been found in disengaging and switching attention in AD patients (Parasuraman et al., 1992; Tales et al., 2002). 
Visual Hallucinations (DLB) 
Visual hallucinations, although not found in all patients, are very specifically found in DLB","AD, FTD, DLB, PDD, svFTD, PNFA, CBS",Ocular function
PSWC,"EEG is already an established tool for the diagnosis of Creutzfeldt–Jakob disease (CJD), with the incidence of PSWC triphasic morphology allowing for other pathologies to be ruled out when seeking a diagnosis (Wieser, Schindler and Zumsteg, 2006). Patients with DLB and AD can also present with similar PSWC patterns (Tschampa et al., 2001).","CJD, DLB",Neuronal activity
GTE,"Grand Total EEG (EEG) combines scoring on several different factors: rhythmic background activity, diffuse slow-wave activity, reactivity, paroxysmal activity (frontal intermittent rhythmic activity (FIRDA)), focal abnormalities, and sharp-wave activity (Roks et al., 2008; Lee, Brekelmans and Roks, 2015). GTE scoring can indicate the extent of abnormalities detected in the whole of the EEG which is relevant for comparison of diseases such as AD and DLB both of which exhibit cholinergic defects which are considered more pronounced in DLB (Briel et al., 1999; Roks et al., 2008; Lee, Brekelmans and Roks, 2015). Atypical Parkinsonian disorders, including Corticobasal degeneration, can also be distinguished using GTE, with non-demented PD patients displaying normal EEG profiles (Lasmezas et al., 2019).","AD, DLB, CBD",Neuronal activity
Frequency Bands,"Activity detected by EEG is divided into bands by frequency ranges (theta, 4-8Hz, alpha 8-14Hz, beta 14-30Hz, gamma, over 30Hz) (Al-Qazzaz et al., 2014; Abo-Zahhad, Ahmed and Abbas, 2015). Alpha waves occur in healthy adults at rest with eyes closed. It is rhythmic but can me disrupted by opening the eyes or other external stimuli. Beta waves are higher frequency, but lower amplitude than alpha waves, they increase during CNS stimulation or heightened attention replacing alpha waves in cognitive impairment. Theta waves, when present across the scalp, are associated with periods of non-attention, drowsiness and cognitive impairment, but are associated with glucose metabolism and attention when present at the frontal mid-line. Delta waves occur during sleep. Gamma waves are associated with sensory processing (when present in the somatosensory cortex) and short-term memory. When associated with Theta bands they are also considered indicative of cognitive impairment (Al-Qazzaz et al., 2014). The EEG profile can be assessed within the Minimum Spanning Tree (MST) which includes alpha, beta, theta, delta, gamma, and the dominant frequency (DF) or frequency with the highest power in the EEG spectrum (Peraza et al., 2018). In this way EEG can produce a profile of brain waves which may indicate dementia type or severity.  

Several distinctive EEG parameters have been identified to distinguish AD from VD. Neto et al., (2015) found that both VD and AD had an increased beta and delta wave power compared to controls as well as a slowed alpha rhythm. AD was found to have a lower occipital and temporal alpha power whereas VD saw an increased alpha power compared to both AD and controls. They propose that the differences in alpha distribution could be used as a biomarker for distinguishing the diseases (Neto et al., 2015). Wu, Chen, & Zhou, (2014) found that VD had generally high theta power compared to AD patients which showed higher posterior theta/delta power. LORETA (low-resolution electromagnetic tomography) analysis indicated lower delta values and higher posterior alpha 2 and beta 1 values in VD versus AD patients (Wu, Chen and Zhou, 2014). The Correlation Dimension of Reconstructed Attractor (D2) which is a measure of variability in functioning has also been found to be more uneven in VD than in AD (Jeong et al., 2001). ","MCI, AD, VD",Neuronal activity
Dominant Frequency,"The dominant frequency (DF) is the frequency with the highest power in the EEG spectrum, usually between 4 and 15Hz, typically the DF is found in the alpha band, however, loss of alpha waves as the DF and DF slowing are indicative of DLB, distinguishing it from AD (Briel et al., 1999; Peraza et al., 2018). A recent study found that quantitative EEG (QEEG) could distinguish AD from DLB with an accuracy of 94%, 92% sensitivity and 83% specificity (Stylianou et al., 2018). Here they analysed the dominant frequency (DF), and its variability (DFV). AD patients displayed greater DFV than DLB patients, but DFV only correlated with cognitive function tests in DLB patients (Stylianou et al., 2018). PDD is very hard to distinguish from Lewy Body Dementia as described by Bonanni et al., (2008). In their first measurements they could identify groups of PDD patients which either had fluctuating DLB-like cognition, with variable DF and stable alpha activity, or AD-like non-fluctuating cognition, these groups disappeared in the follow up with 74.3% of PDD patients presenting with a DLB-like EEG signature (Bonanni et al., 2008).","AD, DLB, PDD",Neuronal activity
Connectivity,"Network connectivity can also be measured using EEG defined by the Phase Lag Index (PLI), with a decrease in alpha band connectivity seen in AD and DLB compared to healthy controls which may reflect defects in the cholinergic system (van Dellen et al., 2015; Peraza et al., 2018). There is also some mixed evidence that PLI values may differ between AD and DLB (van Dellen et al., 2015; Peraza et al., 2018). The duration of Microstates also varies between AD and DLB and may be predictive of DLB severity (Schumacher et al., 2019). Microstates are topologically stable, patterned sections of the EEG signature which are thought to indicate the basic initialisation of neurological processes. However, the slowing of microstates seen in DLB cannot be explained by the slowing of the dominant frequency (Schumacher et al., 2019). These findings indicate the beginnings of a framework which can be used to predict the type and severity of DLB, however more work is needed to understand their relationships. It is also proposed that monitoring differences in REM sleep with EEG may be able to distinguish AD from DLB before symptoms present themselves (Bonanni et al., 2008). Distinguishing patients with DLB from patients with a mixed DLB AD pathology are difficult from an EEG scan, although it is still possible to separate incidences of mixed pathology from pure AD (van der Zande et al., 2018). 

Several differences have been identified between the EEG signatures of bvFTD and AD patients, mostly related to connectivity characteristics, which have diagnostic potential. FTD tends to maintain posterior alpha band connectivity compared to AD (Yu et al., 2016) which has lower functional alpha and beta signals (De Haan et al., 2009; Yu et al., 2016). AD maintains posterior beta band connectivity better compared to FTD. MST topology is also altered in these diseases, with AD experiencing a more global loss of efficiency but FTD patients tend to maintain this (Pijnenburg et al., 2008; De Haan et al., 2009; Yu et al., 2016), with efficiency lost at specific nodes within the brain (Yu et al., 2016). Although these differences were identified between diseases, this loss of function does not seem to appear until late in disease progression, so may be more helpful for distinguishing late stage disease type rather than acting as an early biomarker (Yu et al., 2016), furthermore detailed analysis is required to distinguish FTD from normal cognition as generalised efficiency and connectivity are maintained (Pijnenburg et al., 2008).  
Disease Specificity  

DLB has the most distinctive EEG investigated so far and is the most likely to progress to a clinically available diagnostic tool soon (Colloby et al., 2016). Furthermore, most studies use comparison of two dementia subtypes to each other. Caso et al. (2012) managed to distinguish between FTD and AD groups but these findings could not be replicated at the individual level. Although there are now several parameters which provide good discrimination between groups of dementias EEG’s use for the detection of very early biomarkers is still limited.","DLB, AD, FTD",Neuronal activity
Depression,"Depression is a vast disorder with a wide range of symptoms. It is comprised of mental emotions and physical symptoms. It is persistent over time and can even cause suicidal thoughts when most severe (NHS, 2016). There is much speculation surrounding the role of depression in dementia. A large majority of people agree of its prevalence within the disease, but its effects are debated. Some people believe depression to increase impairment which leads to dementia. For example, it has been noted that 10-20% of MCI patients will go on to develop dementia, especially if they are also diagnosed with depression (Gutzmann and Qazi, 2015). Additionally, another report has stated that depression was linked to a 2-to-5 times increase in the risk of developing dementia (Byers and Yaffe, 2011; Gutzmann and Qazi, 2015). On the other hand, some researchers have found no association between mood, specifically depression, and future dementia development (Becker et al., 2009). Although there is not a solid agreement on depressions effect on cognition it still has the possibility to be a useful marker in early detection.  

Depression has been specifically linked to AD, VaD and DLB (Gutzmann and Qazi, 2015) with the most prevalent symptoms occurring in VaD and DLB (Ballard et al., 1996; Fritze et al., 2011). All these three subtypes are common in that they experience frontal white matter hypersensitivity (WMH) directly associated with depression (Barber et al., 1999). White matter hypersensitivity is common in VaD patients and has been observed at a significantly higher amount than in AD, particularly in the posterior paraventricular regions (Almkvist et al., 1992). Paraventricular WMH has been seen to accelerate functional decline (Dhamoon et al., 2018) which is seen in dementia. Being able to identify the progress in WMH through depression could indicate a risk for WMH in the paraventricular region, hence becoming a risk factor for dementia.  

As well as vascular dementia, AD patients also show WMH. Aside from this there have been other hypotheses for the pathology and role of depression in this disorder. In a neuropathological study, by Rapp in 2006, it was found that there was an increase in the hippocampal plaque and tangle formations in AD patients who had struggled with depression all their lives (Rapp et al., 2006). Hippocampal damage is a characteristic element of AD and so being able to predict its development is good for early detection. Another paper also stated a link between depression and dementia through the effects of glucocorticoids. It was suggested that over production of glucocorticoids was associated with the presentation of depressive symptoms and would eventually result in hippocampal atrophy (Sjöberg et al., 2019). Although this may be true another paper suggested that it was the depressive symptoms themselves, caused by the glucocorticoids, that were responsible for the hippocampal damage observed in the onset of dementia (Gutzmann and Qazi, 2015). 

Overall, this evidence suggests that depression is a good indicator for the risk of dementia onset and so would be useful in early detection.","AD, VaD, DLB",Mood
Apathy,"Apathy is defined as a decrease in motivation to the point of disinterest. It has been widely correlated with depression as they are similar, however they are two separate distinguishable moods (Levy et al., 1998). Apathy has been linked to an increased risk of dementia development in some studies. In 2018 a systematic review and meta-analysis was conducted to investigate this link. From this it was found that apathy was associated with a 2-fold increase in the risk of going on to develop dementia (Van Dalen et al., 2018). In terms of dementia subtype, apathy has been seen in AD, DLB, and FTD, specifically bvFTD.  

Apathy can be seen in AD over the course of the disease and even in MCI. MCI has been said to be a preclinical stage of AD and so identifying symptoms at this stage could be a good indicator for early detection. In relation to apathy the evolution from MCI to AD is debated. It has been found that MCI patients with atrophy alone or coupled with depression have a greater risk of developing AD (Ruthirakuhan et al., 2019). Another study also showed that out of patients that progressed from MCI to AD 91.7% had symptoms of atrophy, however this study was not conclusive on the exact relationship they saw between apathy and AD (Robert et al., 2006). There is much speculation about the pathological correlation between apathy and AD. Some have suggested that apathy correlates with frontotemporal hypoperfusion (Craig et al., 1996) and others have said its with right temporoparietal hypoperfusion (Ott, Noto and Fogel, 1996). A later study has also suggested strong links between apathy and the integrity of the medial frontal regions (Apostolova et al., 2007). It has been observed that hypoperfusion is prevalent during the presentation of the disease as well as in its pre-clinical stages. It is also been said to occur in cognitively healthy people at risk of developing AD due to their family history or genetic components (Austin et al., 2011). As hypoperfusion is associated with apathy the recognition of apathy in cognitively unaffected individuals could be representative of underlying genetic factors which increase the risk of someone developing dementia. It could also be used to identify the preclinical stages of the disease early on.  

Apathy has also been observed in patients with FTD, specifically bvFTD. It is said to be the most common behavioural symptom in this FTD subtype and increases with disease severity (Quaranta et al., 2012). The apathy profile of individuals with bvFTD has been seen to differ from that of AD patients, meaning it could be used to distinguish the dementia type someone is most at risk of developing. One distinguishing feature is that it is more commonly seen coupled with disinhibition in FTD compared to AD (Levy et al., 1998). The type of apathy seen also noted to differ between these dementia subtypes. It has been seen in a preliminary investigation that affective apathy was the only behaviour symptom present that could differentiate bvFTD from AD. Affective apathy has been linked with alterations of the orbitofrontal cortex specifically its relationship with the ventral striatum (Quaranta et al., 2012). These areas of the brain also control other key functions seen to be affected in dementia, and so identification of these neurological changes through apathy could help to identify bvFTD early on in disease progression.  

DLB has also been linked to symptoms of apathy. In comparison to FTD and AD, apathy has been seen to increase the rate of cognitive decline in DLB patients over a 4-year study (Breitve et al., 2018). Apathy within DLB has been associated with reduced striatonigral uptake, a phenomenon not observed in AD patients. This deficit was also seen in MCI patients with a higher risk of developing DLB (Graff-Radford et al., 2014). This suggests that apathy is a good biomarker for DLB as if identified early it suggests the person is at risk of faster cognitive decline, relating to DLB, over the next few years.","AD, DLB, FTD- specifically bvFTD",Mood
Anxiety,"Anxiety is the feeling of being abnormally uneasy or worried. It can arise due to phobias or social interaction and can be expressed in panic attacks or PTSD (National Health Service, 2018). These symptoms have been found in AD, VaD, FTD (Porter et al., 2003), and DLB of varying frequencies (Hynninen et al., 2012). Like depression there has been much debate surrounding the impact of anxiety on dementia. It has been suggested that anxiety is associated with an increase in cognitive impairment (Ferretti et al., 2001) however, other studies have found anxiety to be of no importance in the change in cognition seen in dementia patients (Breitve et al., 2016). Although this debate is still ongoing there is still potential for anxiety to be used as a risk factor for dementia. Recently there have been systematic reviews coupled with meta-analysis which have found a significant link between anxiety and reduction in cognitive health. In a paper by Gulpers in 2016 they found proposed that anxiety was a prodromal symptom for dementia as it increased the rate of cognitive impairment (Gulpers et al., 2016). In an even more recent paper by Santabábara they also found this link to be true and quantified it as a 29% increased chance of developing dementia if you suffer from anxiety symptoms. However, this paper does specify that further research is needed due to the uncertainty the extent to which anxiety causes dementia (Santabárbara et al., 2019). From this evidence we can say with some confidence that anxiety could be a good prodrome or marker for use in early detection of dementia.","AD, VaD, FTD, DLB",Mood
